titulo;descricao;preco;area util por m²;quartos;banheiros;vagas garagem;rua/avenida;custo condominio;iptu;bairro;cidade;estado;cep;ar condicionado;mobiliado;elevador;churrasqueira;salão de festas;quarto de serviço;segurança 24h;armários no quarto;condomínio fechado;piscina;armários na cozinha;varanda;área de serviço;academia;portaria;permitido animais
VENDO EXCELENTE APARTAMENTO NO PITANGUEIRAS LATERAL VISTA MAR PRA PONTE NOVA;"Código do anúncio: 2079

CORRETOR: RICARDO HAFNER
CRECI: 23200
CONTATO: 

VENDO EXCELENTE APARTAMENTO NO PITANGUEIRAS LATERAL VISTA MAR PRA PONTE NOVA

01 SUÍTE
01 QUARTO
01 SALA
01 COZINHA
01 BANHEIRO
01 VARANDA 
01 GARAGEM

PISCINA";550000.0;65.0;2;1;1;Avenida Lomanto Júnior - até 1064/1065;240.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
Residencial Vernazza Vista Mar;"Código do anúncio: 6893

Corretor: Valdnei Santana
CRECI.: 23.174
Contato: 

Residencial Vernazza Vista Mar

01 Suíte
02 Quartos
01 Sala
01 Banheiro social
01 Cozinha
01 Área de Serviço
01 Varanda
01 Vagas de garagem


- Piscina com borda infinita para o mar
- Academia
- Salão de Jogos
- Espaço Grill
- Brinquedoteca
- Salão de Festas
- Espaço Gourmet
- Sauna

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";800000.0;96.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
Vendo Apartamento na Zona Sul;"Código do anúncio: 12557

Corretor: Antônio Dattoli 
CRECI.:28.453
Contato: 

Vendo Apartamento na Zona Sul 

01 Sala 
01 Suite 
01 Quarto 
01 Cozinha 
01 Área de serviço 
02 Banheiros 
01 Vaga de garagem coberta 

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";650000.0;60.0;1;2;1;Avenida Tancredo Neves;450.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;1;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0
Cobertura San Marino Vista Mar;"Código do anúncio: 12546

Corretora: Luciana Daneu 
CRECI.: 22.423 
Contato: 

Cobertura San Marino Vista Mar

02 Quartos
01 Suíte 
01 Sala
01 Varanda 
01 Banheiro Social 
01 Cozinha
01 Area de serviço 
02 Vagas

Prédio com estrutura de lazer, de frente para o mar

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";1400000.0;150.0;3;1;2;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0
Cobertura Vista Mar;"Código do anúncio: 12547

Corretora: Luciana Daneu 
Contato: 
CRECI.: 22.423 

Cobertura Vista Mar

02 Quarto
01 Suíte 
02 Varandas 
01 Sala
01 Cozinha
01 Área de serviço 
01 Banheiro Social 
02 Vagas de garagem 

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";1400000.0;150.0;3;1;2;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0
Apt. No centro da cidade de ilhéus;Vendo 3 apt no centro da cidade de ilhéus vom vista pra o Mario Pessoa perto de tudo cada 2 tem 2 quatros , 1 sala 1 banheiro e cozinha e área de serviço caso tenha interesse mando foto e video;0.0;240.0;2;1;Sem informacao;Alto São Luiz;Sem informacao;Sem informacao;Teresópolis;Ilhéus;BA;45652420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vendo Apartamento com 2/4;"Código do anúncio: 12503

Corretora: Mayara Gondim
CRECI.: 24.073
Contato: 

Vendo Apartamento com 2/4

01 Suíte
01 Quarto
01 Sala
01 Cozinha
01 Banheiro
01 Vaga de Garagem
01 Área de serviço
01 Vagas de garagem

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";550000.0;74.0;2;2;1;Rua Bem-te-vis;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655750;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Apartamento à venda, 1 quarto, Nossa Senhora da Vitória - Ilhéus/BA;"Código do anúncio: 11698

IBS-Imóveis Bahia Sul 
CRECI: J.1.925
Contato: 

 Infinity Park Residence

Apresentamos o Infinity Park Residence o novo projeto da SSN localizado na Zona Sul de ilhéus. Apartamentos modernos, incluindo Studios, Lofts e unidades de 2 dormitórios, com tamanhos variando de 30,83 m² a 49,98 m². Com um design contemporâneo, o empreendimento possui uma área de lazer completa, com lavanderia compartilhada, mini market, espaço delivery, bicicleta Rio, espaço pet e garagem. Destaque para o rooftop duplex com uma vista deslumbrante, que conta com piscina, espaço coworking, espaço fitness, lounge coberto, lounge bar e espaço spa com hidromassagem, sauna e sala de massagem.

Sua localização privilegiada, a apenas 150 metros da Praia dos Milionários, e o fácil acesso pela nova ponte Jorge Amado, proporcionam conveniência aos moradores.

O Infinity Park Residence oferece um estilo de vida moderno, conforto e uma experiência única em ilhéus.";303000.0;36.0;1;1;Não Tem;Rua Praia Dourada;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
Apartamento em Ilhéus, vista mar, praia do Sul;"Excelente apartamento, em predio com vista mar, na melhor localização de Ilheus-Ba, Com toda estrutura de segurança e lazer. Lançado recentemente, poucas unidades disponiveis.
a partir de R$ 360.000,00, sinal de apenas R$ 12.000,000.

mais informações

Matheus Lisboa";360000.0;59.0;2;2;1;Avenida Tancredo Neves;Sem informacao;Sem informacao;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;0;1;0;1;0;1;0;1;1;0;1;0;1;1;1
Venda - Apartamento de 3 Quartos com Vista Lateral para o Mar no Edifício Orizzon, Ilhéus;"Apartamento de 3 Quartos com Vista Lateral para o Mar no Edifício Orizzon, Ilhéus 

Se você busca o equilíbrio perfeito entre conforto, estilo e uma vista deslumbrante do mar, esta é a sua oportunidade! Este apartamento de 3 quartos, localizado no prestigiado Edifício Orizzon em Ilhéus, oferece tudo isso e muito mais.

? Características do Imóvel:

Espaçoso apartamento com 3 quartos
Vista lateral para o mar, proporcionando momentos de tranquilidade e contemplação
Ambientes bem distribuídos e iluminados
Acabamentos de alta qualidade para uma atmosfera elegante e moderna
? Edifício Orizzon:
O edifício é conhecido por sua arquitetura contemporânea e oferece uma série de comodidades para os moradores, incluindo:

Segurança 24 horas para sua tranquilidade
Área de lazer com piscina e espaço para churrasco
Localização conveniente, próximo a comércios, restaurantes e áreas de lazer
? Localização Privilegiada:
Situado em uma das áreas mais desejadas de Ilhéus, este apartamento oferece acesso fácil às belas praias da região, além de estar próximo a pontos turísticos e culturais da cidade.

? Área Total: [Inserir área total do apartamento]
? Disponibilidade: Pronto para morar

? Valor: Entre em contato para obter informações detalhadas sobre o preço.

? Agende uma Visita:
Não perca a oportunidade de adquirir este apartamento excepcional com vista para o mar e desfrutar de uma vida de conforto e elegância em Ilhéus. Entre em contato conosco para agendar uma visita e conhecer pessoalmente este incrível imóvel.

Contato: 
Rafael (WhatsApp)
Venha descobrir o seu novo lar no Edifício Orizzon e desfrute do melhor que Ilhéus tem a oferecer!";900000.0;132.0;3;3;2;Avenida Tancredo Neves;Sem informacao;Sem informacao;Jardim Atlântico;Ilhéus;BA;45655000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ilhéus Apto 2/4 Orla Pontal, Vista Mar;Apto td mobiliado , quartos c ar condicionado e varanda vista mar mobiliada, próximo a supermercados, academias, padarias, farmácias, restaurantes, açougue, praça.;550000.0;76.0;2;2;1;Avenida Lomanto Júnior - de 1066/1067 ao fim;370.0;1100.0;Pontal;Ilhéus;BA;45654001;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;1
Apartamento com 2/4 Garden Vog Acqua;"Código do anúncio: 12491

Corretora: Lívia Destefani

CRECI.: 31.193

Apartamento com 2/4 Garden Vog Acqua 

01 Suíte
01 Quarto social 
01 Banheiro social 
01 Sala com varanda garden 
Cozinha 
Área de serviço 

Condomíno com área de lazer completa

Piscina
Academia
Churrasqueira
Parque infantil 
Espaço Gourmet
Portaria 24 horas

Localizado próimo da praia, e da região turística de Ilhéus, bairro completo em infraestrutura e lazer, com supermercado atacadista, farmácia, restaurantes, posto de gasolina, e o melhor em para seu conforto e lazer na cidade. 

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";520000.0;78.0;2;1;1;Rua Vereador Neo Bastos;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655768;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Apartamento Mobiliado na Zona Sul Vista Mar;"Código do anúncio: 12517

IBS - Imóveis Bahia Sul
Corretor: Cristiano Rodrigo
CRECI:25.955
Contato: 

Apartamento Mobiliado com 2/4 Vista Mar

01 Quarto
01 Suíte,
01 Sala
01 Banheiro social
Área de serviço
Cozinha,
01 Vaga de garagem

Obs.:""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";620000.0;68.0;1;2;Não Tem;Rua dos Tangarás;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655752;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Vernazza - Ilhéus/Ba - Apartamento 03 dormitórios sendo 1 suíte;"Vendo 3/4 Residencial Vernazza

Unidade 1007:
01 Suíte
02 Quartos
01 Sala
01 Banheiro social
01 Cozinha
01 Área de Serviço
01 Varanda
01 Vagas de garagem

- Piscina com borda infinita para o mar
- Academia
- Salão de Jogos
- Espaço Grill
- Brinquedoteca
- Salão de Festas
- Espaço Gourmet
- Sauna

OBS: Diretamente com o proprietário.";700000.0;85.0;3;2;1;Avenida Tancredo Neves;Sem informacao;Sem informacao;São Francisco;Ilhéus;BA;45655120;0;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1
TRIPLEX à venda - no bairro PONTAL - Excelente oportunidade.;"Código do anúncio: 5803... ver número6-4

Excelente localização no bairro Pontal, imóvel próximo ao Museu Maramata em Ilhéus, é uma área conhecida por sua atmosfera tranquila e pela proximidade com a orla, as mais belas praias do litoral.
 É uma região que mescla residências familiares, pequenos comércios e algumas opções de lazer. O Museu Maramata, por sua vez, é um ponto turístico importante que resgata a história e a cultura local. Juntos, o bairro Pontal e o Museu Maramata oferecem um ambiente agradável para moradores e visitantes.
Casa triplex
Vista para o mar do último andar;
3 quartos (3 suítes);
1 banheiro social;
1 dependência de empregada;
Cozinha;
2 salas;
Área de serviço;
Área de lazer com churrasqueira;
2 vagas (sendo 1 coberta).
A área total do imóvel é de 150,50m2, com as seguintes dimensões: 8,60m de frente e 17,50m de frente a fundo.";435000.0;150.0;3;1;2;Rua Cassimiro Costa;0.0;0.0;Pontal;Ilhéus;BA;45654530;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Vende se casa em Ilhéus BA, bairro- Teotônio Vilela. 160.000$;"Vende se casa em Ilhéus BA, bairro- Teotônio Vilela. 160.000$
Aceitamos carro como entrada!
A casa fica na rua nossa senhora da Conceição, n- 232
Qualquer dúvida Paulo.";160000.0;Sem informacao;Sem informacao;1;Sem informacao;Rua Nossa Senhora da Conceição;Sem informacao;Sem informacao;Teotônio Vilela;Ilhéus;BA;45657170;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Apartamento Zona Sul de Ilhéus Bahia 200 metros da praia;"Apartamento Palazzo Torino VENDA

- 85,46 m²
- 5 andar 
-2 quartos sendo um suíte
-Cozinha/ área de serviço 
-Sala
-varanda
-Banheiro 

Condomínio dispõe:

-Piscina 
-Área gourmet 
-elevador
-Salão de festas 
-Vaga de garagem";480000.0;Sem informacao;Sem informacao;1;Sem informacao;Avenida Tancredo Neves;Sem informacao;Sem informacao;São Francisco;Ilhéus;BA;45655120;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0
Cobertura para Venda em Ilhéus, PRAIA DOS MILIONÁRIOS, 3 dormitórios, 1 suíte, 2 banheiros;"Código do anúncio: AP 019_2-2827261

Se você está em busca de um imóvel que una conforto, sofisticação e uma localização privilegiada, esta cobertura é a escolha perfeita para você! Localizada no bairro Praia dos Milionários, em Ilhéus/BA, este imóvel é simplesmente deslumbrante. Com 3 dormitórios, sendo 1 suíte, 2 banheiros e 2 vagas de garagem, esta cobertura é ideal para quem busca viver com qualidade de vida e muito estilo. 
 
 Com uma área total de 115,68 m², esta cobertura é espaçosa e conta com ambientes bem distribuídos, perfeitos para acomodar você e sua família com todo o conforto que merecem. Além disso, o imóvel está completamente mobiliado, pronto para você se mudar imediatamente e desfrutar de cada detalhe pensado com muito carinho. 
 
 O condomínio oferece uma infraestrutura completa, com academia, piscina infantil, salão de jogos, sauna e muito mais. E se você gosta de receber amigos e familiares, a piscina com espaço gourmet é o local ideal para momentos inesquecíveis. Não perca a oportunidade de adquirir este imóvel dos sonhos, com frente para o mar e todos os detalhes que você sempre desejou. Agende agora mesmo uma visita e encante-se com essa cobertura incrível! 
 
 
 - : Academia, piscina infantil, Piso porcelanato, 
 
 - Características: Ar Condicionado, Móveis Planejados, Cômodos espaçosos, Cozinha com despensa, elevador, frente para o mar, Internet, Piscina, Piscina com espaço gourmet, Piso porcelanato, Salão de Eventos, salão de jogos, sauna, segurança interna, varanda, 
 
 - Cômodos: Área de Serviço, Copa, Cozinha, Despensa, 
 
 - Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Praia dos milionários, 
 
 Sujeito a confirmao 
 
 Pontos Fortes: EM FRENTE À PRAIA DOS MILIONÁRIOS COM UMA VISTA PANORÂMICA DE 180 GRAUS";1500000.0;142.0;3;2;2;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0
Apartamento;"Apartamento de alto padrão vista total do mar e Rio, só comprar e mudar.
Ar condicionado e móveis planejado em todos quartos.
Aceito carro como parte de pgto!
Já com toda documentação para financiamento.";529000.0;75.0;3;2;2;Avenida José Luís da Fonseca - até 968/969;400.0;1300.0;Jardim Savóia;Ilhéus;BA;45658260;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
ORIZZON 3/4 A VENDA;"Código do anúncio: 12376

CORRETORA: CAMILA BADARÓ.
CRECI: 23.450
CONTATO: 

ORIZZON 3/4 A VENDA

01 SALA DE ESTAR/JANTAR;
01 LAVABO;
01 VARANDA GOURMET;
01 COZINHA;
01 ÁREA DE SERVIÇO;
01 BANHEIRO SOCIAL;
02 QUARTOS SOCIAIS;
01 SUÍTE.


02 VAGAS DE GARAGEM 


OBS.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";850000.0;106.0;2;1;2;Nossa Senhora da Vitória;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
EXCELENTE GARDEN 3/4 NO VERNAZZA;"Código do anúncio: 12514

CORRETORA: CAMILA BADARÓ.
CRECI: 23.450
CONTATO: 

GARDEN SUPER AMPLO NA ZONA SUL 

01 SALA DE ESTAR/JANTAR;
01 COZINHA COM ÁREA DE SERVIÇO;
01 BANHEIRO SOCIAL;
02 QUARTOS SOCIAIS;
01 SUÍTE;
01 EXCELENTE ÁREA EXTERNA COM ACESSO AOS DORMITÓRIOS E SALA DE ESTAR.


LOCALIZAÇÃO PRIVILEGIADA;
INFRAESTRUTURA COMPLETA NO ROOFTOP;
NASCENTE TOTAL;
GÁS CENTRAL;
MEDIÇÃO INDIVIDUAL DE ÁGUA;
ALTO PADRÃO DE ACABAMENTO.


OBS.: ''O VALOR DA COMPRA E VENDA ACIMA MENCIONADO PODERÁ SOFRER ALTERAÇÃO POR EVENTUAIS CORREÇÕES REALIZADAS PELO PROPRIETÁRIO(A) EM VIRTUDE DO TEMPO,
BEM COMO TAMBÉM OS VALORES DAS TAXAS CONDOMINIAIS MENSAIS PODERÃO SOFRER REAJUSTES CONFORME REGULAMENTO CONDOMINIAL 
E O IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU) CONFORME PREFEITURA MUNICIPAL.
EM CASO DE DÚVIDAS, POR FAVOR ENTRAR EM CONTATO.''";950000.0;162.0;2;1;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1
APARTAMENTO COM 3/4 NO VERNAZZA;"Código do anúncio: 11267

CORRETORAS: CAMILA BADARÓ 
CRECI: 23.450 
CONTATO: 

VENDO APARTAMENTO 3/4 NO VERNAZZA 

01 SALA DE ESTAR/JANTAR;
01 VARANDA;
01 BANHEIRO SOCIAL;
01 COZINHA COM ÁREA DE SERVIÇO;
02 QUARTOS SOCIAIS;
01 SUÍTE.

* TORRE ÚNICA; 
* NASCENTE TOTAL;
* INFRAESTRUTURA COMPLETA NO ROOFTOP;
* LOCALIZAÇÃO PRIVILEGIADA;
* GÁS CENTRAL;
* FACHADA 100% REVESTIDA COM PASTILHAS;
* MEDIÇÃO INDIVIDUAL DE ÁGUA;
* ALTO PADRÃO DE ACABAMENTO.

OBS.:''O VALOR DA COMPRA E VENDA ACIMA MENCIONADO PODERÁ SOFRER ALTERAÇÃO POR EVENTUAIS CORREÇÕES REALIZADAS PELO PROPRIETÁRIO(A) EM VIRTUDE DO TEMPO,
BEM COMO TAMBÉM OS VALORES DAS TAXAS CONDOMINIAIS MENSAIS PODERÃO SOFRER REAJUSTES CONFORME REGULAMENTO CONDOMINIAL 
E O IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU) CONFORME PREFEITURA MUNICIPAL.
EM CASO DE DÚVIDAS, POR FAVOR ENTRAR EM CONTATO.''";700000.0;85.0;2;1;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
Vendo Apartamento no Soberano Residence;"Código do anúncio: 12499

Corretor: Valdnei Santana
CRECI: 23.174
Contato: 

Vendo Apartamento no Soberano Residence

01 Quarto
01 Suíte
01 Banheiro Social
01 Sala
01 Copa
01 Cozinha
01 Área de Serviço
01 Varanda gourmet
01 Vaga de Garagem

Infraestrutura do Condomínio:
Piscina
Academia
Salão de Jogos
Salão de Festas
Brinquedoteca
Sauna
Churrasqueira


Obs. ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";680000.0;79.0;2;1;1;Rua Praia Dourada;450.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
World Prime Residence;"Código do anúncio: 12435

Corretor: Valdnei Santana
CRECI:. 23.174
Contato: 

World Prime Residence 

01 Quarto 
01 Suíte 
01 Sala 
01 Banheiro Social 
01 Cozinha 
01 Área de Serviço 
01 Vaga de Garagem 
03 Elevadores 

Infraestrutura
Piscina Infantil
Piscina Adulto
Lounge Piscina 
Quiosque com 02 Churrasqueira 
Prédio 100 % Pastilhado 
Salão de Festa 
Salão de Jogos 
Academia
Binquedoteca 
Parque Infantil 
Quadra Poliesportiva 
Praça dos Namorados 
Deck Molhado 
Clausura Social 
Clausura Veiculo 
Clausura de serviço 

Área do Terreno original : 7.996,73 m2


Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";460000.0;66.0;2;1;1;Avenida Tancredo Neves;400.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
World Prime Residence;"Código do anúncio: 12434

Corretor: Valdnei Santana
CRECI:. 23.174
Contato: 

World Prime Residence 

01 Quarto 
01 Suíte 
01 Sala 
01 Banheiro Social 
01 Cozinha 
01 Área de Serviço 
01 Vaga de Garagem 
03 Elevadores 

Infraestrutura
Piscina Infantil
Piscina Adulto
Lounge Piscina 
Quiosque com 02 Churrasqueira 
Prédio 100 % Pastilhado 
Salão de Festa 
Salão de Jogos 
Academia
Binquedoteca 
Parque Infantil 
Quadra Poliesportiva 
Praça dos Namorados 
Deck Molhado 
Clausura Social 
Clausura Veiculo 
Clausura de serviço 

Área do Terreno original : 7.996,73 m2

Obs.:""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";460000.0;66.0;2;1;1;Avenida Tancredo Neves;400.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
VOG Amado Lançamento em Ilhéus/BA;"Imóvel 0418: Empreendimento VOG Amado - Pontal:

Dos apartamentos:
- Apartamentos novos;
- Área privativa 58,39 m² - 70,49 m²;
- Sala;
- Varanda;
- Living;
- Cozinha;
- 2 e 3 Quartos, sendo 1 suíte;
- Área de serviço;
- Garagem.

Do condomínio:
- Localização Privilegiada, Próximo à Praia;
- Portaria com Clausura;
- Guarda e e-Commerce;
- Quadra Beach Sport;
- Bicicletário;
- Academia;
- Salão de Festas;
- Piscina com Deck Molhado;
- Piscina Infantil;
- Espaço Gourmet;
- Parque Infantil;
- Praça;
- Brinquedoteca;
- Sala de Estudos/Coworking;
- Deck Park;
- Pomar.
 
Bairro: Pontal.

*Aceita financiamento.
*Valores variados a depender do apartamento.

Valor da Venda: R$ 379.430,00 - R$ 538.530,00

ACETE Imobiliária - CRECI J1845";379430.0;58.0;2;1;1;Avenida Lomanto Júnior - até 1064/1065;Sem informacao;Sem informacao;Pontal;Ilhéus;BA;45654000;0;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1
Ilhéus - Apartamento 02 quartos sendo 01 suíte - Venda - Soberano;"Código do anúncio: 2336

Quando pensamos no que significa viver bem, imediatamente vem à nossa mente, atributos como: segurança, tranquilidade e a proximidade com os lugares que frequentamos no nosso dia a dia! E assim pode ser representado o Residencial Soberano, o empreendimento da F Nogueira Construtora.

Quando o assunto é imóvel, acabamento e design não são meros detalhes, mas fatores fundamentais. Logo na entrada, o empreendimento mostrará sua sofisticação com hall de entrada com pé direito duplo.

Ahh e sem falar do alto padrão de acabamento F Nogueira que vai desde sua fachada contemporânea revestida com pastilha de vidro a até o piso de porcelanato e gesso rebaixado! 

01 quarto;
01 suíte;
01 banheiro social;
Sala estar/jantar;
Cozinha;
Área de serviço;
Varanda Gourmet.

O empreendimento reúne todos os elementos essenciais para uma vida de qualidade

· Brinquedoteca
· Parque Infantil
· Playground
· Sala de massagem
· Sauna
· Espaço fitness
· Cozinha gourmet
· Churrasqueira
· Elevador
· Salão de festas com 200m²
· Salão de jogos 

Para maiores informações, entre já em contato!

 Imobiliária Atlântico Sul
 Evandro Zanonatto
 Rui Albertuni
IMÓVEL";550000.0;73.0;2;2;1;Rua Praia Dourada;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
Ilhéus - Apartamento Graden Pé na Areia 02 quartos, sendo 1 suíte - Pétra - Praia do Sul;"Código do anúncio: 4711

Prepare-se para viver em grande estilo, o empreendimento Pétra é repleto de detalhes únicos, com vista mais do que privilegiada, em frente a melhor praia de Ilhéus. Apartamento Garden Pé na Areia com 02 quartos, sendo 1 suíte com alto padrão de acabamento e uma iluminação natural incrível. 

O Pétra une a sofisticação que você procura com o conforto que sua família merece: uma arquitetura singular, apartamentos incríveis e projeto pensado nos mínimos detalhes para te proporcionar exclusividade e conveniência, dentro e fora de casa.

Para o seu lazer, o condomínio oferece:

 Piscina com borda infinita;
 Espaço fitness;
 Parque infantil;
 Quadra esportiva;
 Sun Decks;
 Quiosque Espaço Grill;
 Acesso a praia;

E ainda um espaço gourmet perfeito para você reunir família e amigos.

Possui diferenciais como: 

 Entrada com elevador panorâmico;
 Medição individual de água;
 Casa de gás;
 Vaga para carros elétricos;
 Vestiário.

A área de sua localização é tranquilíssima e tem acesso fácil à tudo o que você precisa!
Gostou? Venha conferir e se surpreender.

 Lorhanne Velozo 
 Imobiliária Atlântico Sul
 Evandro Zanonatto
IMÓVEL";1200000.0;84.0;2;2;2;Rua Helenílson Chaves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655044;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0
VENDO APTO 3/4 NO CIDADE NOVA;Apto 3/4 no bairro Cidade Nova em ilheus;600000.0;140.0;3;3;2;Avenida Vereador Marcus Paiva;1100.0;1000.0;Cidade Nova;Ilhéus;BA;45652050;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1
